Day,Produced,Pass,Fail,Released,CarryOver,Stock
5,208,197,11,0,0,197
6,208,197,11,180,0,214
7,208,197,11,180,0,231
8,208,197,11,180,0,248
9,208,197,11,180,0,265
10,208,197,11,180,0,282
11,208,197,11,180,0,299
12,208,197,11,180,0,316
13,208,197,11,180,0,333
14,208,197,11,180,0,350
15,208,197,11,180,0,367
16,208,197,11,180,0,384
17,208,197,11,180,0,401
18,208,197,11,180,0,418
19,208,197,11,180,0,435
20,208,197,11,180,0,452
21,208,197,11,180,0,469
22,208,197,11,180,0,486
23,208,197,11,180,0,503
24,208,197,11,180,0,520
25,208,197,11,180,0,537
26,208,197,11,180,0,554
27,208,197,11,180,0,571
28,208,197,11,180,0,588
29,208,197,11,180,0,605
30,208,197,11,180,0,622
31,208,197,11,180,0,639
32,208,197,11,180,0,656
33,208,197,11,180,0,673
34,208,197,11,180,0,690
35,208,197,11,180,0,707
36,208,197,11,180,0,724
37,208,197,11,180,0,741
38,66,62,4,180,0,623
39,0,0,0,180,0,443
40,0,0,0,180,0,263
41,0,0,0,180,0,83
42,0,0,0,78,0,5
43,0,0,0,5,0,0
