Day,Produced,Pass,Fail,Released,CarryOver,Stock
4,208,208,0,0,0,208
5,208,208,0,208,0,208
6,208,208,0,208,0,208
7,208,208,0,208,0,208
8,208,208,0,208,0,208
9,208,208,0,208,0,208
10,208,208,0,208,0,208
11,208,208,0,208,0,208
12,208,208,0,208,0,208
13,208,208,0,208,0,208
14,208,208,0,208,0,208
15,208,208,0,208,0,208
16,208,208,0,208,0,208
17,208,208,0,208,0,208
18,208,208,0,208,0,208
19,208,208,0,208,0,208
20,208,208,0,208,0,208
21,208,208,0,208,0,208
22,208,208,0,208,0,208
23,208,208,0,208,0,208
24,208,208,0,208,0,208
25,208,208,0,208,0,208
26,208,208,0,208,0,208
27,208,208,0,208,0,208
28,208,208,0,208,0,208
29,208,208,0,208,0,208
30,208,208,0,208,0,208
31,208,208,0,208,0,208
32,208,208,0,208,0,208
33,208,208,0,208,0,208
34,208,208,0,208,0,208
35,208,208,0,208,0,208
36,208,208,0,208,0,208
37,208,208,0,208,0,208
38,208,208,0,208,0,208
39,10,10,0,208,0,10
40,0,0,0,10,0,0
