Day,Produced,Pass,Fail,Released,CarryOver,Stock
6,30.0,30.0,0,0,0,30.0
7,30.0,30.0,0,0,0,60.0
8,30.0,30.0,0,0,0,90.0
9,30.0,30.0,0,0,0,120.0
10,30.0,30.0,0,0,0,150.0
11,30.0,30.0,0,0,0,180.0
12,30.0,30.0,0,0,0,210.0
13,30.0,30.0,0,0,0,240.0
14,30.0,30.0,0,0,0,270.0
15,30.0,30.0,0,0,0,300.0
16,30.0,30.0,0,0,0,330.0
17,30.0,30.0,0,0,0,360.0
18,30.0,30.0,0,0,0,390.0
19,30.0,30.0,0,0,0,420.0
20,30.0,30.0,0,0,0,450.0
21,30.0,30.0,0,0,0,480.0
22,30.0,30.0,0,0,0,510.0
23,30.0,30.0,0,0,0,540.0
24,30.0,30.0,0,0,0,570.0
25,30.0,30.0,0,0,0,600.0
26,30.0,30.0,0,0,0,630.0
27,30.0,30.0,0,0,0,660.0
28,30.0,30.0,0,0,0,690.0
29,30.0,30.0,0,0,0,720.0
30,30.0,30.0,0,0,0,750.0
31,30.0,30.0,0,0,0,780.0
32,30.0,30.0,0,0,0,810.0
33,30.0,30.0,0,0,0,840.0
34,30.0,30.0,0,0,0,870.0
35,30.0,30.0,0,0,0,900.0
36,30.0,30.0,0,0,0,930.0
37,30.0,30.0,0,0,0,960.0
38,30.0,30.0,0,0,0,990.0
39,30.0,30.0,0,0,0,1020.0
40,30.0,30.0,0,0,0,1050.0
41,30.0,30.0,0,0,0,1080.0
42,30.0,30.0,0,0,0,1110.0
43,30.0,30.0,0,0,0,1140.0
44,15.0,15.0,0,0,0,1155.0
