Day,COMPOSITING_Produced,COMPOSITING_Pass,COMPOSITING_Fail,COMPOSITING_Released,COMPOSITING_CarryOver,COMPOSITING_Stock,LAMI_Produced,LAMI_Pass,LAMI_Fail,LAMI_Released,LAMI_CarryOver,LAMI_Stock,LQ_INSPECTION_Produced,LQ_INSPECTION_Pass,LQ_INSPECTION_Fail,LQ_INSPECTION_Released,LQ_INSPECTION_CarryOver,LQ_INSPECTION_Stock,ETCHING_Produced,ETCHING_Pass,ETCHING_Fail,ETCHING_Released,ETCHING_CarryOver,ETCHING_Stock,EQ_INSPECTION_Produced,EQ_INSPECTION_Pass,EQ_INSPECTION_Fail,EQ_INSPECTION_Released,EQ_INSPECTION_CarryOver,EQ_INSPECTION_Stock,TRANSCRIPTION_Produced,TRANSCRIPTION_Pass,TRANSCRIPTION_Fail,TRANSCRIPTION_Released,TRANSCRIPTION_CarryOver,TRANSCRIPTION_Stock
1,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,0.0,0.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,0.0,0.0,495.0,,,,,,,,,,,,,,,,,,
4,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,782.0,208.0,208.0,0.0,0.0,0.0,208.0,,,,,,,,,,,,
5,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,1069.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,0.0,0.0,197.0,,,,,,
6,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,1356.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,214.0,30.0,30.0,0.0,0.0,0.0,30.0
7,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,1643.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,231.0,30.0,30.0,0.0,0.0,0.0,60.0
8,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,1930.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,248.0,30.0,30.0,0.0,0.0,0.0,90.0
9,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,2217.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,265.0,30.0,30.0,0.0,0.0,0.0,120.0
10,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,2504.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,282.0,30.0,30.0,0.0,0.0,0.0,150.0
11,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,2791.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,299.0,30.0,30.0,0.0,0.0,0.0,180.0
12,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,3078.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,316.0,30.0,30.0,0.0,0.0,0.0,210.0
13,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,3365.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,333.0,30.0,30.0,0.0,0.0,0.0,240.0
14,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,3652.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,350.0,30.0,30.0,0.0,0.0,0.0,270.0
15,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,3939.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,367.0,30.0,30.0,0.0,0.0,0.0,300.0
16,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,4226.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,384.0,30.0,30.0,0.0,0.0,0.0,330.0
17,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,4513.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,401.0,30.0,30.0,0.0,0.0,0.0,360.0
18,2.0,2.0,0.0,2.0,0.0,2.0,522.0,522.0,0.0,522.0,0.0,522.0,522.0,495.0,27.0,208.0,0.0,4800.0,208.0,208.0,0.0,208.0,0.0,208.0,208.0,197.0,11.0,180.0,0.0,418.0,30.0,30.0,0.0,0.0,0.0,390.0
